RollID,Campaign,Episode,Time,Player,Character,Type of Roll,D20?,Total Roll,Natural Roll,Crit?,Notes
13506,The Mighty Nein,1,00:35:40,Travis,Fjord,Perception,Yes,20,20,Yes,null
13507,The Mighty Nein,1,00:39:22,Laura,Jester,Perception,Yes,22,19,No,null
13508,The Mighty Nein,1,00:39:30,Marisha,Beau,Perception,Yes,19,16,No,null
13509,The Mighty Nein,1,00:43:04,Marisha,Beau,Insight,Yes,13,8,No,null
13510,The Mighty Nein,1,00:50:37,Taliesin,Molly,Insight,Yes,16,11,No,null
13511,The Mighty Nein,1,00:51:00,Taliesin,Molly,Sleight of Hand,Yes,16,11,No,null
13512,The Mighty Nein,1,00:51:25,Sam,Nott,Perception,Yes,14,14,No,null
13513,The Mighty Nein,1,00:52:13,Taliesin,Molly,Sleight of Hand,Yes,19,14,No,null
13514,The Mighty Nein,1,00:53:09,Taliesin,Molly,Sleight of Hand,Yes,14,9,No,null
13515,The Mighty Nein,1,01:06:50,Sam,Nott,Sleight of Hand,Yes,20,12,No,null
13516,The Mighty Nein,1,01:06:57,Laura,Jester,Perception,Yes,null,null,No,null
13517,The Mighty Nein,1,01:07:34,Laura,Jester,Sleight of Hand,Yes,13,8,No,null
13518,The Mighty Nein,1,01:07:35,Sam,Nott,Perception,Yes,null,null,No,null
13519,The Mighty Nein,1,01:08:50,Sam,Nott,Other,No,null,null,No,Crick Queen's Call
13520,The Mighty Nein,1,01:08:50,Sam,Nott,Other,No,null,null,No,Crick Queen's Call
13521,The Mighty Nein,1,01:08:50,Sam,Nott,Other,No,null,null,No,Crick Queen's Call
13522,The Mighty Nein,1,01:08:52,Laura,Jester,Other,No,5,null,No,Crick Queen's Call
13523,The Mighty Nein,1,01:08:52,Laura,Jester,Other,No,5,null,No,Crick Queen's Call
13524,The Mighty Nein,1,01:08:52,Laura,Jester,Other,No,5,null,No,Crick Queen's Call
13525,The Mighty Nein,1,01:09:11,Sam,Nott,Acrobatics,Yes,24,18,No,null
13526,The Mighty Nein,1,01:09:13,Marisha,Beau,Athletics,Yes,14,10,No,null
13527,The Mighty Nein,1,01:15:43,Travis,Fjord,Insight,Yes,13,15,No,null
13528,The Mighty Nein,1,01:15:53,Sam,Nott,Deception,Yes,11,14,No,null
13529,The Mighty Nein,1,01:20:25,Sam,Nott,Constitution Save,Yes,12,10,No,null
13530,The Mighty Nein,1,01:21:23,Liam,Caleb,Investigation,Yes,12,6,No,null
13531,The Mighty Nein,1,01:24:17,Laura,Jester,Sleight of Hand,Yes,25,20,Yes,null
13532,The Mighty Nein,1,01:55:10,Laura,Jester,Perception,Yes,8,5,No,null
13533,The Mighty Nein,1,01:55:16,Marisha,Beau,Insight,Yes,25,20,Yes,null
13534,The Mighty Nein,1,01:57:57,Ashley,Yasha,Investigation,Yes,null,null,No,Disregarded due to advantage
13535,The Mighty Nein,1,01:57:57,Ashley,Yasha,Investigation,Yes,12,null,No,With advantage
13536,The Mighty Nein,1,01:58:37,Sam,Nott,Sleight of Hand,Yes,12,4,No,null
13537,The Mighty Nein,1,02:01:15,Travis,Fjord,Perception,Yes,11,11,No,null
13538,The Mighty Nein,1,02:24:32,Marisha,Beau,Initiative,Yes,5,1,Yes,null
13539,The Mighty Nein,1,02:25:23,Laura,Jester,Initiative,Yes,22,19,No,null
13540,The Mighty Nein,1,02:25:31,Taliesin,Molly,Initiative,Yes,10,7,No,null
13541,The Mighty Nein,1,02:25:33,Sam,Nott,Initiative,Yes,10,6,No,null
13542,The Mighty Nein,1,02:25:34,Travis,Fjord,Initiative,Yes,12,12,No,null
13543,The Mighty Nein,1,02:25:34,Ashley,Yasha,Initiative,Yes,13,11,No,null
13544,The Mighty Nein,1,02:25:35,Liam,Caleb,Initiative,Yes,11,10,No,null
13545,The Mighty Nein,1,02:26:51,Laura,Jester,Spell Attack,Yes,16,11,No,Guiding Bolt
13546,The Mighty Nein,1,02:27:04,Laura,Jester,Damage,No,18,null,No,null
13547,The Mighty Nein,1,02:30:29,Travis,Fjord,Attack,Yes,7,1,Yes,Disregarded due to advantage
13548,The Mighty Nein,1,02:30:29,Travis,Fjord,Attack,Yes,18,12,No,Falchion with advantage
13549,The Mighty Nein,1,02:30:42,Travis,Fjord,Damage,No,11,null,No,null
13550,The Mighty Nein,1,02:31:17,Liam,Caleb,Spell Attack,Yes,17,11,No,Chromatic Orb (Cold)
13551,The Mighty Nein,1,02:31:44,Liam,Caleb,Damage,No,9,null,No,null
13552,The Mighty Nein,1,02:33:07,Sam,Nott,Performance,Yes,15,18,No,null
13553,The Mighty Nein,1,02:34:29,Marisha,Beau,Athletics,Yes,7,3,No,null
13554,The Mighty Nein,1,02:35:08,Marisha,Beau,Attack,Yes,20,14,No,Unarmed Strike
13555,The Mighty Nein,1,02:35:18,Marisha,Beau,Attack,Yes,15,9,No,Unarmed Strike
13556,The Mighty Nein,1,02:35:25,Marisha,Beau,Damage,No,11,null,No,null
13557,The Mighty Nein,1,02:36:28,Liam,Caleb,Dexterity Save,Yes,17,16,No,null
13558,The Mighty Nein,1,02:36:28,Sam,Nott,Dexterity Save,Yes,15,9,No,null
13559,The Mighty Nein,1,02:39:04,Taliesin,Molly,Attack,Yes,21,16,No,Sword
13560,The Mighty Nein,1,02:39:10,Taliesin,Molly,Damage,No,9,null,No,null
13561,The Mighty Nein,1,02:40:38,Laura,Jester,Damage,No,3,null,No,Toll the Dead
13562,The Mighty Nein,1,02:43:23,Travis,Fjord,Attack,Yes,16,10,No,Falchion AoO
13563,The Mighty Nein,1,02:43:30,Travis,Fjord,Damage,No,12,null,No,null
13564,The Mighty Nein,1,02:45:29,Ashley,Yasha,Attack,Yes,null,null,No,Disreagrded due to advantage
13565,The Mighty Nein,1,02:45:29,Ashley,Yasha,Attack,Yes,17,12,No,Greatsword Reckless
13566,The Mighty Nein,1,02:45:50,Ashley,Yasha,Damage,No,13,null,No,null
13567,The Mighty Nein,1,02:47:53,Travis,Fjord,Attack,Yes,21,15,No,Falchion
13568,The Mighty Nein,1,02:47:58,Travis,Fjord,Damage,No,17,null,No,null
13569,The Mighty Nein,1,02:48:54,Liam,Caleb,Spell Attack,Yes,11,5,No,Chromatic Orb (Acid)
13570,The Mighty Nein,1,02:49:54,Sam,Nott,Attack,Yes,16,10,No,Crossbow Sneak Attack
13571,The Mighty Nein,1,02:50:04,Sam,Nott,Damage,No,14,null,No,null
13572,The Mighty Nein,1,02:51:15,Sam,Nott,Perception,Yes,9,9,No,null
13573,The Mighty Nein,1,02:51:58,Taliesin,Molly,Attack,Yes,12,7,No,Sword
13574,The Mighty Nein,1,02:52:07,Taliesin,Molly,Attack,Yes,21,16,No,Sword
13575,The Mighty Nein,1,02:52:16,Taliesin,Molly,Damage,No,4,null,No,null
13576,The Mighty Nein,1,02:52:26,Taliesin,Molly,Damage,No,9,null,No,null
13577,The Mighty Nein,1,02:53:22,Marisha,Beau,Attack,Yes,16,10,No,Unarmed Strike
13578,The Mighty Nein,1,02:53:37,Marisha,Beau,Damage,No,6,null,No,null
13579,The Mighty Nein,1,02:54:20,Marisha,Beau,Attack,Yes,25,19,No,Unarmed Strike
13580,The Mighty Nein,1,02:54:21,Marisha,Beau,Attack,Yes,24,18,No,Unarmed Strike
13581,The Mighty Nein,1,02:54:30,Marisha,Beau,Damage,No,13,null,No,HDYWTDT
13582,The Mighty Nein,1,02:57:07,Laura,Jester,Healing,No,7,null,No,Cure Wounds (1st)- Beau heals 7 points
13583,The Mighty Nein,1,02:57:13,Laura,Jester,Healing,No,10,null,No,Cure Wounds (1st)- Molly heals 10 points
13584,The Mighty Nein,1,02:58:57,Laura,Jester,Deception,Yes,19,16,No,null
13585,The Mighty Nein,1,03:00:16,Laura,Jester,Investigation,Yes,14,13,No,null
13586,The Mighty Nein,1,03:02:19,Taliesin,Molly,Deception,Yes,8,6,No,null
13587,The Mighty Nein,1,03:02:38,Laura,Jester,Sleight of Hand,Yes,6,1,Yes,null
13588,The Mighty Nein,1,03:03:39,Laura,Jester,Deception,Yes,16,13,No,null
13589,The Mighty Nein,1,03:08:55,Taliesin,Molly,Deception,Yes,3,1,Yes,null
13590,The Mighty Nein,2,00:16:59,Marisha,Beau,Stealth,Yes,17,11,No,null
13591,The Mighty Nein,2,00:18:05,Marisha,Beau,Perception,Yes,21,18,No,null
13592,The Mighty Nein,2,00:20:05,Marisha,Beau,Animal Handling,Yes,11,8,No,null
13593,The Mighty Nein,2,00:20:45,Marisha,Beau,Stealth,Yes,19,13,No,null
13594,The Mighty Nein,2,00:21:36,Marisha,Beau,Stealth,Yes,10,4,No,null
13595,The Mighty Nein,2,00:25:10,Marisha,Beau,Athletics,Yes,10,8,No,null
13596,The Mighty Nein,2,00:31:12,Taliesin,Molly,Persuasion,Yes,20,20,Yes,null
13597,The Mighty Nein,2,00:40:49,Travis,Fjord,Persuasion,Yes,16,12,No,null
13598,The Mighty Nein,2,00:42:40,Travis,Fjord,Deception,Yes,24,18,No,null
13599,The Mighty Nein,2,00:54:52,Marisha,Beau,Insight,Yes,25,20,Yes,null
13600,The Mighty Nein,2,01:02:01,Marisha,Beau,Investigation,Yes,16,15,No,null
13601,The Mighty Nein,2,01:02:02,Taliesin,Molly,Investigation,Yes,16,16,No,null
13602,The Mighty Nein,2,01:06:14,Sam,Nott,Sleight of Hand,Yes,11,3,No,null
13603,The Mighty Nein,2,01:10:22,Marisha,Beau,Perception,Yes,21,18,No,null
13604,The Mighty Nein,2,01:18:12,Laura,Jester,Medicine,Yes,17,12,No,null
13605,The Mighty Nein,2,01:25:42,Travis,Fjord,Insight,Yes,15,17,No,null
13606,The Mighty Nein,2,01:25:50,Taliesin,Molly,Deception,Yes,null,null,No,null
13607,The Mighty Nein,2,01:34:01,Laura,Jester,Dexterity,Yes,null,null,No,Disregarded due to advantage
13608,The Mighty Nein,2,01:34:01,Laura,Jester,Dexterity,Yes,15,12,No,With advantage
13609,The Mighty Nein,2,01:36:12,Taliesin,Molly,Dexterity,Yes,null,null,No,Disregarded due to advantage
13610,The Mighty Nein,2,01:36:12,Taliesin,Molly,Dexterity,Yes,23,20,Yes,With advantage
13611,The Mighty Nein,2,01:40:13,Taliesin,Molly,Perception,Yes,14,11,No,null
13612,The Mighty Nein,2,01:41:09,Travis,Fjord,Performance,Yes,20,16,No,null
13613,The Mighty Nein,2,01:41:13,Marisha,Beau,Performance,Yes,16,15,No,null
13614,The Mighty Nein,2,01:41:47,Taliesin,Molly,Performance,Yes,20,20,Yes,null
13615,The Mighty Nein,2,01:45:05,Laura,Jester,Investigation,Yes,16,15,No,null
13616,The Mighty Nein,2,01:50:06,Laura,Jester,Deception,Yes,17,14,No,null
13617,The Mighty Nein,2,01:54:05,Laura,Jester,Investigation,Yes,12,11,No,null
13618,The Mighty Nein,2,02:22:47,Laura,Jester,Perception,Yes,11,8,No,null
13619,The Mighty Nein,2,02:22:50,Travis,Fjord,Perception,Yes,11,11,No,null
13620,The Mighty Nein,2,02:31:47,Taliesin,Molly,Nature,Yes,9,9,No,null
13621,The Mighty Nein,2,02:38:48,Liam,Caleb,Investigation,Yes,12,6,No,With advantage
13622,The Mighty Nein,2,02:38:48,Liam,Caleb,Investigation,Yes,null,null,No,Disregarded due to advantage
13623,The Mighty Nein,2,02:44:55,Liam,Caleb,Investigation,Yes,21,15,No,null
13624,The Mighty Nein,2,02:45:02,Sam,Nott,Investigation,Yes,21,16,No,null
13625,The Mighty Nein,2,02:51:05,Sam,Nott,Sleight of Hand,Yes,22,14,No,null
13626,The Mighty Nein,2,02:51:55,Sam,Nott,Sleight of Hand,Yes,20,12,No,null
13627,The Mighty Nein,2,03:07:31,Sam,Nott,Stealth,Yes,21,13,No,null
13628,The Mighty Nein,2,03:07:31,Travis,Fjord,Stealth,Yes,15,15,No,null
13629,The Mighty Nein,2,03:07:31,Marisha,Beau,Stealth,Yes,19,13,No,null
13630,The Mighty Nein,2,03:07:31,Taliesin,Molly,Stealth,Yes,17,14,No,null
13631,The Mighty Nein,2,03:07:31,Laura,Jester,Stealth,Yes,21,18,No,null
13632,The Mighty Nein,2,03:07:31,Liam,Caleb,Stealth,Yes,12,11,No,null
13633,The Mighty Nein,2,03:09:14,Laura,Jester,Perception,Yes,4,1,Yes,null
13634,The Mighty Nein,2,03:09:14,Sam,Nott,Perception,Yes,19,19,No,null
13635,The Mighty Nein,2,03:09:14,Taliesin,Molly,Perception,Yes,12,9,No,null
13636,The Mighty Nein,2,03:09:14,Travis,Fjord,Perception,Yes,9,9,No,null
13637,The Mighty Nein,2,03:09:14,Marisha,Beau,Perception,Yes,18,15,No,null
13638,The Mighty Nein,2,03:09:14,Liam,Caleb,Perception,Yes,10,7,No,null
13639,The Mighty Nein,2,03:10:55,Taliesin,Molly,Intelligence,Yes,17,17,No,null
13640,The Mighty Nein,2,03:12:44,Laura,Jester,Performance,Yes,4,3,No,null
13641,The Mighty Nein,2,03:13:38,Sam,Nott,Stealth,Yes,13,5,No,null
13642,The Mighty Nein,2,03:13:38,Travis,Fjord,Stealth,Yes,9,9,No,null
13643,The Mighty Nein,2,03:13:38,Marisha,Beau,Stealth,Yes,9,3,No,null
13644,The Mighty Nein,2,03:13:38,Taliesin,Molly,Stealth,Yes,7,4,No,null
13645,The Mighty Nein,2,03:13:38,Laura,Jester,Stealth,Yes,19,16,No,null
13646,The Mighty Nein,2,03:13:38,Liam,Caleb,Stealth,Yes,15,14,No,null
13647,The Mighty Nein,2,03:15:48,Sam,Nott,Deception,Yes,0,3,No,Disregarded due to advantage
13648,The Mighty Nein,2,03:15:48,Sam,Nott,Deception,Yes,4,7,No,With advantage
13649,The Mighty Nein,2,03:17:42,Liam,Caleb,Deception,Yes,25,20,Yes,null
13650,The Mighty Nein,2,03:22:18,Travis,Fjord,Deception,Yes,13,7,No,null
13651,The Mighty Nein,2,03:24:44,Liam,Caleb,Religion,Yes,10,null,No,null
13652,The Mighty Nein,2,03:25:11,Travis,Fjord,Investigation,Yes,16,12,No,null
13653,The Mighty Nein,2,03:25:11,Liam,Caleb,Investigation,Yes,10,4,No,null
13654,The Mighty Nein,2,03:25:55,Travis,Fjord,Religion,Yes,10,8,No,null
13655,The Mighty Nein,2,03:27:18,Marisha,Beau,Stealth,Yes,21,15,No,null
