RollID,Campaign,Episode,Time,Player,Character,Type of Roll,D20?,Total Roll,Natural Roll,Crit?,Notes
1,Vox Machina,1,00:37:53,Laura,Vex,Intelligence,Yes,20,18,No,FIRST ROLL OMG
2,Vox Machina,1,00:41:48,Travis,Grog,Persuasion,Yes,19,18,No,null
3,Vox Machina,1,00:43:25,Marisha,Keyleth,Persuasion,Yes,2,2,No,null
4,Vox Machina,1,00:46:35,Orion,Tiberius,Persuasion,Yes,12,3,No,Disregarded due to advantage
5,Vox Machina,1,00:46:35,Orion,Tiberius,Persuasion,Yes,27,18,No,null
6,Vox Machina,1,00:46:35,Taliesin,Percy,Persuasion,Yes,21,15,No,null
7,Vox Machina,1,00:47:52,Marisha,Keyleth,Insight,Yes,27,17,No,null
8,Vox Machina,1,01:00:35,Laura,Vex,Persuasion,Yes,21,18,No,null
9,Vox Machina,1,01:05:16,Sam,Scanlan,Constitution,Yes,20,18,No,null
10,Vox Machina,1,01:05:16,Laura,Vex,Stealth,Yes,15,6,No,null
11,Vox Machina,1,01:05:16,Liam,Vax,Stealth,Yes,20,7,No,null
12,Vox Machina,1,01:07:32,Orion,Tiberius,Perception,Yes,5,8,No,null
13,Vox Machina,1,01:08:18,Orion,Tiberius,Dexterity Save,Yes,15,12,No,null
14,Vox Machina,1,01:12:39,Orion,Tiberius,Intimidation,Yes,18,13,No,null
15,Vox Machina,1,01:13:24,Orion,Tiberius,Persuasion,Yes,24,13,No,null
16,Vox Machina,1,01:17:29,Laura,Vex,Charisma,Yes,null,1,Yes,FIRST CRIT FAIL
17,Vox Machina,1,01:19:58,Liam,Vax,Stealth,Yes,null,null,No,Disregarded due to advantage
18,Vox Machina,1,01:19:58,Liam,Vax,Stealth,Yes,21,8,No,With Advantage
19,Vox Machina,1,01:20:40,Liam,Vax,Attack,Yes,null,4,No,Disregarded due to advantage
20,Vox Machina,1,01:20:40,Liam,Vax,Attack,Yes,26,15,No,Dagger Handle With advantage
21,Vox Machina,1,01:21:30,Liam,Vax,Damage,No,27,null,No,FIRST DAMAGE
22,Vox Machina,1,01:22:15,Liam,Vax,Acrobatics,Yes,30,17,No,null
23,Vox Machina,1,01:24:15,Marisha,Keyleth,Performance,Yes,null,20,Yes,FIRST NAT 20
24,Vox Machina,1,01:26:49,Liam,Vax,Persuasion,Yes,15,13,No,Disregarded due to advantage
25,Vox Machina,1,01:26:49,Liam,Vax,Persuasion,Yes,15,13,No,Wirh advantage
26,Vox Machina,1,01:48:38,Orion,Tiberius,Persuasion,Yes,19,10,No,null
27,Vox Machina,1,01:50:07,Laura,Vex,Persuasion,Yes,23,16,No,null
28,Vox Machina,1,01:59:06,Sam,Scanlan,Stealth,Yes,16,14,No,Disregarded due to advantage
29,Vox Machina,1,01:59:18,Sam,Scanlan,Stealth,Yes,16,14,No,With advantage
30,Vox Machina,1,02:02:41,Sam,Scanlan,Dexterity,Yes,null,null,No,Disregarded due to disadvantage
31,Vox Machina,1,02:02:41,Sam,Scanlan,Dexterity,Yes,11,11,No,With disadvantage
32,Vox Machina,1,02:19:48,Liam,Vax,Stealth,Yes,13,4,No,null
33,Vox Machina,1,02:23:18,Taliesin,Percy,Attack,Yes,19,7,No,Pepperbox
34,Vox Machina,1,02:23:18,Laura,Vex,Attack,Yes,15,4,No,Arrow
35,Vox Machina,1,02:23:18,Liam,Vax,Attack,Yes,19,9,No,Dagger
36,Vox Machina,1,02:25:06,Travis,Grog,Initiative,Yes,18,16,No,null
37,Vox Machina,1,02:25:06,Marisha,Keyleth,Initiative,Yes,4,2,No,null
38,Vox Machina,1,02:25:06,Taliesin,Percy,Initiative,Yes,27,20,No,null
39,Vox Machina,1,02:25:06,Sam,Scanlan,Initiative,Yes,3,3,No,null
40,Vox Machina,1,02:25:06,Orion,Tiberius,Initiative,Yes,21,19,No,null
41,Vox Machina,1,02:25:06,Liam,Vax,Initiative,Yes,6,1,No,null
42,Vox Machina,1,02:25:06,Laura,Vex,Initiative,Yes,18,13,No,null
43,Vox Machina,1,02:27:50,Taliesin,Percy,Attack,Yes,30,19,No,Bad News- FIRST CRIT
44,Vox Machina,1,02:28:30,Taliesin,Percy,Damage,No,27,null,No,null
45,Vox Machina,1,02:30:57,Orion,Tiberius,Damage,No,27,null,No,Fireball
46,Vox Machina,1,02:32:11,Orion,Tiberius,Damage,No,10,null,No,Telekinesis- Ogres are prone
47,Vox Machina,1,02:33:00,Laura,Vex,Attack,Yes,21,10,No,Lightning Arrow
